BookID,Book Name,Author,Publishing Year,Genre,Book Average Rating,Book Rating Count,Publisher 
145,All Together Dead,Charlaine Harris,2007,Fantasy,4.05,162689,Random House LLC
146,From Dead to Worse,Charlaine Harris,2008,Fantasy,4.01,151095,"Amazon Digital Services,  Inc."
147,Dead and Gone,Charlaine Harris,2009,Fantasy,4.01,145157,Random House LLC
148,Dead in the Family,Charlaine Harris,2010,Fantasy,3.88,127379,"Amazon Digital Services,  Inc."
149,Dead Reckoning,Charlaine Harris,2011,Thriller,3.77,87066,"Amazon Digital Services,  Inc."
150,Deadlocked,Charlaine Harris,2012,Fantasy,3.65,65932,"Amazon Digital Services,  Inc."
151,Post Office,Charles Bukowski,1971,Literary Fiction,4.01,59295,HarperCollins Publishers
152,Ham on Rye,Charles Bukowski,1982,Literary Fiction,4.16,54140,"Amazon Digital Services,  Inc."
153,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,Charles Darwin,1859,Essays/Journalism,3.97,64162,HarperCollins Publishers
154,David Copperfield,"Charles Dickens, Jeremy Tambling",1849,Classics,3.96,150512,Hachette Book Group
155,Bleak House,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",1853,Classics,4,67433,HarperCollins Publishers
156,The Power of Habit,Charles Duhigg,2011,Self-Help & Instruction,4.03,155977,HarperCollins Publishers
157,My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,2004,Biography/Autobiography/Memoir,3.79,83607,Simon and Schuster Digital Sales Inc
158,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,2007,Biography/Autobiography,3.85,127096,Hachette Book Group
159,Chelsea Chelsea Bang Bang,Chelsea Handler,2010,Biography/Autobiography/Memoir,3.81,55355,"Amazon Digital Services,  Inc."
160,Five Point Someone: What Not to Do at IIT,Chetan Bhagat,2004,Literary Fiction,3.43,67438,"Amazon Digital Services,  Inc."
161,The 3 Mistakes of My Life,Chetan Bhagat,2008,Literary Fiction,2.97,53331,Random House LLC
162,Two States,Chetan Bhagat,2009,Romance,3.42,67866,"Amazon Digital Services,  Inc."
163,Americanah,Chimamanda Ngozi Adichie,2013,Literary Fiction,4.26,113252,"Amazon Digital Services,  Inc."
164,Midwives,Chris Bohjalian,1997,Literary Fiction,3.97,133155,Random House LLC
165,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",2012,,3.97,61422,Macmillan
166,The Polar Express,Chris Van Allsburg,1985,Children's Literature,4.29,168001,"Amazon Digital Services,  Inc."
167,Beautiful Bastard,Christina Lauren,2013,Romance,4.05,111668,"Amazon Digital Services,  Inc."
168,Drowning Ruth,Christina Schwarz,2000,Literary Fiction,3.73,67768,"Amazon Digital Services,  Inc."
169,God is Not Great: How Religion Poisons Everything,Christopher Hitchens,2007,Essays/Journalism,3.96,64347,"Amazon Digital Services,  Inc."
170,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,2009,Biography/Autobiography/Memoir,4.27,109642,"Amazon Digital Services,  Inc."
171,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,2002,Fantasy,4.26,118576,Random House LLC
172,A Dirty Job,Christopher Moore,2006,Fantasy,4.08,78523,"Amazon Digital Services,  Inc."
173,Inheritance,Christopher Paolini,2011,Fantasy,4.08,146905,Random House LLC
174,"Bud, Not Buddy",Christopher Paul Curtis,1999,Historical Fiction,3.89,73000,"Amazon Digital Services,  Inc."
175,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,2003,Essays/Journalism,3.75,56548,"Amazon Digital Services,  Inc."
176,Invisible Monsters,Chuck Palahniuk,1999,Literary Fiction,4,54937,Simon and Schuster Digital Sales Inc
177,Survivor,Chuck Palahniuk,1999,Thriller,3.93,49551,HarperCollins Publishers
178,Lullaby,Chuck Palahniuk,2002,Horror,3.73,66713,Hachette Book Group
179,Diary,Chuck Palahniuk,2003,Essays/Journalism,3.6,58428,Hachette Book Group
180,Haunted: A Novel of Stories,Chuck Palahniuk,2005,Horror,3.59,68861,Simon and Schuster Digital Sales Inc
181,The Night Before Christmas,"Clement C. Moore, Jan Brett",1823,Chidren's Literature,4.36,81553,"Amazon Digital Services,  Inc."
182,Hopeless,Colleen Hoover,2012,Romance,4.34,189938,HarperCollins Publishers
183,Slammed,Colleen Hoover,2012,Romance,4.29,153882,"Amazon Digital Services,  Inc."
184,Point of Retreat,Colleen Hoover,2012,Romance,4.3,109344,"Amazon Digital Services,  Inc."
185,Maybe Someday,Colleen Hoover,2014,Romance,4.33,81707,Random House LLC
186,Ugly Love,Colleen Hoover,2014,Romance,4.3,107583,Random House LLC
187,Confess,Colleen Hoover,2015,Romance,4.25,72611,"Amazon Digital Services,  Inc."
188,It Ends with Us,Colleen Hoover,2016,Romance,4.44,80433,Penguin Group (USA) LLC
189,Brooklyn,Colm Toibin,2009,Literary Fiction,3.63,55459,"Amazon Digital Services,  Inc."
190,The Underground Railroad,Colson Whitehead,2016,Historical Fiction,4.04,72052,"Amazon Digital Services,  Inc."
191,Let the Great World Spin,Colum McCann,2009,Literary Fiction,3.93,71515,"Amazon Digital Services,  Inc."
192,Losing It,Cora Carmack,2012,Romance,3.77,84438,HarperCollins Publishers
193,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,1985,Western,4.18,71095,Penguin Group (USA) LLC
194,All the Pretty Horses,Cormac McCarthy,1992,Literary Fiction,3.97,68451,"Amazon Digital Services,  Inc."
195,No Country for Old Men,Cormac McCarthy,2005,Thriller,4.12,100513,Simon and Schuster Digital Sales Inc
196,Tintenblut,"Cornelia Funke, Anthea Bell",2005,Fantasy,3.91,82291,"Amazon Digital Services,  Inc."
197,Blankets,Craig Thompson,2003,Young Adult,4.06,70454,"Amazon Digital Services,  Inc."
198,Harold and the Purple Crayon,Crockett Johnson,1955,Children's Literature,4.24,107221,"Amazon Digital Services,  Inc."
199,The Nest,Cynthia D'Aprix Sweeney,2016,Literary Fiction,3.45,79762,"Amazon Digital Services,  Inc."
200,Unearthly,Cynthia Hand,2011,Young Adult,4.06,99942,Hachette Book Group
