Prim_Author,total_gross_sales,book_count,total_units_sold,sales_rank
"William L. Shirer",334.88,1,4440,572
"Brian Jacques",331.89,1,4400,574
"Karl Marx",331.89,1,4400,574
"Robert Kirkman",331.89,1,4360,574
"Nicola Yoon",331.89,1,4360,574
"George Bernard Shaw",331.89,1,4360,574
"W. Bruce Cameron",328.90,1,4320,579
"George R.R. Martin",325.91,1,4280,580
"Norman Vincent Peale",325.91,1,4240,580
"Chad Harbach",324.37,1,4401,582
"Jane Hamilton",324.21,1,107,583
"Suzanne Collins",322.92,1,108,584
"Sue Monk Kidd",322.92,1,108,584
"Arnold Lobel",322.92,1,108,584
"Sharon M. Draper",319.93,1,107,587
"Tom Wolfe",319.93,1,107,587
"Atul Gawande",319.93,1,107,587
"Beth Hoffman",316.94,1,106,590
"Nelson Mandela",316.94,1,106,590
"Julian Barnes",306.90,1,310,592
"Masashi Kishimoto",288.09,1,291,593
"Brian K. Vaughan",280.17,2,43092,594
"George Orwell",267.30,1,270,595
"Jacquelyn Mitchard",267.30,1,270,595
"Amy Tan",263.34,1,266,597
"Ruta Sepetys",236.81,1,40176,598
"H.A. Rey",236.61,1,239,599
"David Benioff",232.83,1,34128,600
"Jeaniene Frost",232.83,1,33912,600
"Elizabeth Gilbert",232.83,1,32400,600
"Cynthia Hand",232.83,1,31968,600
"Karin Slaughter",226.86,1,2916,604
"Hiromu Arakawa",226.71,1,6183,605
"Evelyn Waugh",224.87,1,2862,606
"Jessie Burton",224.87,1,2862,606
"William Styron",220.89,1,4400,608
"Chaim Potok",218.90,1,4320,609
"Ruth Ware",217.80,2,8640,610
"Lewis Carroll",216.91,1,4280,611
"A.A. Milne",214.92,1,108,612
"Joe Haldeman",214.83,1,5859,613
"James A. Michener",212.00,1,106,614
"Elizabeth Strout",205.92,1,5616,615
"Kimberly McCreight",198.99,1,5427,616
"Susan Ee",194.04,1,5292,617
"George Eliot",186.12,1,5076,618
"Stacy Schiff",181.17,1,4941,619
"Gretchen Rubin",177.21,1,4833,620
"Vincent Bugliosi",176.22,1,4806,621
"Frederick Forsyth",171.27,1,4671,622
"Zadie Smith",167.31,1,4563,623
"Better Homes and Gardens",165.33,1,4509,624
"Donald Miller",162.36,1,4428,625
"Liane Moriarty",162.36,1,4428,625
"Aziz Ansari",157.41,1,4293,627
"Max Brooks",154.44,1,4212,628
"James McBride",151.47,1,4131,629
"Kurt Vonnegut Jr.",151.00,1,4077,630
"William Makepeace Thackeray",149.49,1,4077,631
"Markus Zusak",145.53,1,3969,632
"Anne McCaffrey",133.65,1,52488,633
"Austin Kleon",130.68,1,50328,634
"Scott McCloud",129.69,1,49680,635
"Raymond Chandler",126.72,1,47088,636
"Eowyn Ivey",125.73,1,46872,637
"David Lagercrantz",121.77,1,45144,638
"Elif Shafak",119.79,1,43416,639
"Hajime Isayama",118.80,1,42552,640
"F. Scott Fitzgerald",118.80,1,42120,640
"Tennessee Williams",117.81,1,41904,642
"Robin S. Sharma",117.81,1,40824,642
"Larry Niven",117.81,1,40176,642
"Jessica Sorensen",116.82,1,36504,645
"Janell Cannon",116.82,1,36072,645
"Sandra Cisneros",115.83,1,34128,647
Virgil,114.84,1,31752,648
"Kennilworthy Whisp",114.84,1,31320,648
"Trenton Lee Stewart",114.84,1,30672,648
"Jennifer E. Smith",114.84,1,30240,648
"Jenna Blum",114.84,1,29808,648
"Rudyard Kipling",113.85,1,2916,653
"Adam Mansbach",113.85,1,2916,653
"Tea Obreht",113.85,1,2916,653
"Jasper Fforde",111.87,1,2862,656
